clip,offset_s,survival,mean_survival_s,n,window_s
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,2.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,3.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,4.0,0.0,1.492,8,3.0
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,6.0,0.0,0.725,8,3.0
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,8.0,0.0,0.803,8,1.5
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,mean,0.5714,,56,3.0
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,0.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,1.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,2.0,0.375,2.835,8,3.0
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,3.0,0.0,1.7,8,3.0
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,4.0,0.0,0.742,8,3.0
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,6.0,0.0,0.262,8,2.4
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,8.0,1.0,0.42,8,0.42
KIT_3_kneel_down_with_both_hands02_poses_100_jpos,mean,0.4821,,56,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,0.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,1.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,2.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,3.0,0.5,2.875,8,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,4.0,0.0,1.775,8,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,6.0,0.0,0.593,8,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,8.0,0.0,0.702,8,3.0
KIT_3_kneel_down_with_both_hands03_poses_100_jpos,mean,0.5,,56,3.0
KIT_3_kneel_down_with_both_hands04_poses_100_jpos,0.0,0.625,2.675,8,3.0
KIT_3_kneel_down_with_both_hands04_poses_100_jpos,1.0,0.0,1.395,8,3.0
KIT_3_kneel_down_with_both_hands04_poses_100_jpos,2.0,0.0,0.722,8,3.0
